ID,FoodGroup,Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA,category
11663,Vegetables and Vegetable Products,"Seaweed, agar, dried",306,6.21,0.3,80.88,2.97,7.7,0,0.303,0,0,5,580,0.202,0.222,0.01,625,0.61,21.4,770,4.3,52,7.4,5.8,0,0.178235294,0,0,0.333333333,1.45,0.012625,0.170769231,0.008333333,0.520833333,0.000677778,1.833333333,0.074285714,0.134545455,0.527272727,Weight_Gain
11647,Vegetables and Vegetable Products,"Sweet potato, canned, syrup pack, drained solids",108,1.28,0.32,25.36,5.74,3,458,0.062,0,10.8,1.15,8,0.34,0.038,0.025,17,0.167,0.95,12,0.615,25,0.8,0.16,0.508888889,0.036470588,0,0.12,0.076666667,0.02,0.02125,0.029230769,0.020833333,0.014166667,0.000185556,0.028571429,0.035714286,0.014545455,0.014545455,General_Food
9098,Fruits and Fruit Juices,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra light syrup, solids and liquids",45,0.4,0.07,11.63,0,1.1,12,0.051,0,3,0,3,0.5,0.01,0.03,8,0.1,0.3,6,0.147,12,0,0.08,0.013333333,0.03,0,0.033333333,0,0.0075,0.03125,0.007692308,0.025,0.006666667,0.000111111,0.014285714,0.017142857,0,0.007272727,General_Food
11962,Vegetables and Vegetable Products,"Peppers, hot chile, sun-dried",324,10.58,5.81,69.86,41.06,28.7,1324,0.81,0,31.4,3.14,51,8.669,1.205,0.081,45,0.228,6.04,88,0.821,159,3.5,1.02,1.471111111,0.476470588,0,0.348888889,0.209333333,0.1275,0.5418125,0.926923077,0.0675,0.0375,0.000253333,0.20952381,0.227142857,0.063636364,0.092727273,Weight_Gain
36626,Restaurant Foods,"Restaurant, Chinese, chicken and vegetables",95,8.18,4.56,5.38,2.93,0.9,56,0.232,0.07,8.1,0.77,40,1.69,0.12,0.03,20,0.044,0.56,15,0.126,73,8.1,0.43,0.062222222,0.136470588,0.029166667,0.09,0.051333333,0.1,0.105625,0.092307692,0.025,0.016666667,4.89E-05,0.035714286,0.104285714,0.147272727,0.039090909,General_Food
21020,Fast Foods,"Fast foods, english muffin, with cheese and sausage",338,13.28,20.67,25.28,1.98,0.5,56,0.086,0.79,0,0.58,75,4.217,0.197,0.481,210,0.252,3.14,21,0.284,168,25.3,1.19,0.062222222,0.050588235,0.329166667,0,0.038666667,0.1875,0.2635625,0.151538462,0.400833333,0.175,0.00028,0.05,0.24,0.46,0.108181818,Weight_Gain
17215,"Lamb, Veal, and Game Products","Lamb, variety meats and by-products, spleen, cooked, braised",156,26.46,4.77,0,0,0,0,0.08,5.29,26,0,4,5.868,0.316,0.051,13,0.139,38.67,21,0.062,341,49.8,3.94,0,0.047058824,2.204166667,0.288888889,0,0.01,0.36675,0.243076923,0.0425,0.010833333,0.000154444,0.05,0.487142857,0.905454545,0.358181818,General_Food
25051,Snacks,"Snacks, CLIF BAR, mixed flavors",346,14.71,5.88,65.44,31.62,7.4,1,0.588,1.32,88.2,0.24,118,4.412,0.375,0.551,368,0.441,6.62,147,2.146,294,20.6,4.41,0.001111111,0.345882353,0.55,0.98,0.016,0.295,0.27575,0.288461538,0.459166667,0.306666667,0.00049,0.35,0.42,0.374545455,0.400909091,Weight_Gain
15109,Finfish and Shellfish Products,"Fish, surimi",99,15.18,0.9,6.85,0,0,20,0.03,1.6,0,0.63,2,0.22,0.021,0.02,9,0.032,0.26,43,0.011,282,28.1,0.33,0.022222222,0.017647059,0.666666667,0,0.042,0.005,0.01375,0.016153846,0.016666667,0.0075,3.56E-05,0.102380952,0.402857143,0.510909091,0.03,General_Food
16396,Legumes and Legume Products,"Peanuts, virginia, oil-roasted, without salt",578,25.87,48.62,19.86,0,8.9,0,0.254,0,0,0,125,14.7,0.112,0.276,86,1.273,1.67,188,2.008,506,7.5,6.62,0,0.149411765,0,0,0,0.3125,0.91875,0.086153846,0.23,0.071666667,0.001414444,0.447619048,0.722857143,0.136363636,0.601818182,Weight_Gain
7016,Sausages and Luncheon Meats,"Cheesefurter, cheese smokie, pork, beef",328,14.1,29,1.51,1.51,0,6,0.13,1.73,0,0.24,3,2.9,0.16,0.25,58,0.07,1.08,13,0.03,178,15.7,2.25,0.006666667,0.076470588,0.720833333,0,0.016,0.0075,0.18125,0.123076923,0.208333333,0.048333333,7.78E-05,0.030952381,0.254285714,0.285454545,0.204545455,Weight_Gain
5112,Poultry Products,"Chicken, roasting, meat and skin, cooked, roasted",223,23.97,13.39,0,0,0,0,0.35,0.27,0,0,5,7.418,0.143,0.057,12,0.058,1.26,20,0.018,179,23.6,1.45,0,0.205882353,0.1125,0,0,0.0125,0.463625,0.11,0.0475,0.01,6.44E-05,0.047619048,0.255714286,0.429090909,0.131818182,General_Food
9081,Fruits and Fruit Juices,"Cranberry sauce, canned, sweetened",151,0.2,0.15,38.9,37.9,1,2,0.014,0,2,0.83,1,0.1,0.021,0.015,4,0.02,0.22,3,0.06,6,0.3,0.05,0.002222222,0.008235294,0,0.022222222,0.055333333,0.0025,0.00625,0.016153846,0.0125,0.003333333,2.22E-05,0.007142857,0.008571429,0.005454545,0.004545455,General_Food
17227,"Lamb, Veal, and Game Products","Lamb, domestic, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, choice, cooked",271,25.51,18.01,0,0,0,0,0.14,2.57,0,0,19,6.55,0.26,0.1,16,0.121,1.93,24,0.024,193,27.2,4.74,0,0.082352941,1.070833333,0,0,0.0475,0.409375,0.2,0.083333333,0.013333333,0.000134444,0.057142857,0.275714286,0.494545455,0.430909091,General_Food
3190,Baby Foods,"Babyfood, cereal, oatmeal, with bananas, dry",393,12,6,73.4,13.75,5.2,3,0.423,0.22,4.7,5,19,20.11,3.71,3.6,651,0.391,47.5,118,0,444,20.5,1.9,0.003333333,0.248823529,0.091666667,0.052222222,0.333333333,0.0475,1.256875,2.853846154,3,0.5425,0.000434444,0.280952381,0.634285714,0.372727273,0.172727273,Weight_Gain
17346,"Lamb, Veal, and Game Products","Game meat, deer, shoulder clod, separable lean only, 3-5 lb roast, cooked, braised",191,36.28,3.95,0,0,0,0,0.481,3.06,0,0.75,11,7.43,0.657,0.153,6,0.285,5.01,28,0.026,261,17.7,8.64,0,0.282941176,1.275,0,0.05,0.0275,0.464375,0.505384615,0.1275,0.005,0.000316667,0.066666667,0.372857143,0.321818182,0.785454545,General_Food
36012,Restaurant Foods,"Restaurant, family style, fried mozzarella sticks",325,14.75,18.33,25.14,2.36,2,99,0.074,0.96,0,0.77,36,0.781,0.261,0.103,334,0.066,0.62,21,0.294,318,18.9,2.07,0.11,0.043529412,0.4,0,0.051333333,0.09,0.0488125,0.200769231,0.085833333,0.278333333,7.33E-05,0.05,0.454285714,0.343636364,0.188181818,Weight_Gain
3821,Baby Foods,"Infant formula, MEAD JOHNSON, PREGESTIMIL, with iron, powder, not reconstituted",519,14,28,52.8,51,0,570,0.3,1.5,60,13.4,136,5,0.45,0.4,580,0.38,9.4,55,0,380,14,5,0.633333333,0.176470588,0.625,0.666666667,0.893333333,0.34,0.3125,0.346153846,0.333333333,0.483333333,0.000422222,0.130952381,0.542857143,0.254545455,0.454545455,Weight_Gain
8132,Breakfast Cereals,"Cereals, oats, instant, fortified, with raisins and spice, dry",360,8.45,4.03,76.33,37.14,5.7,589,1.079,0,0.7,0.4,348,10.513,0.684,0.846,228,0.285,9.43,79,1.985,273,6.9,1.76,0.654444444,0.634705882,0,0.007777778,0.026666667,0.87,0.6570625,0.526153846,0.705,0.19,0.000316667,0.188095238,0.39,0.125454545,0.16,Weight_Gain
15253,Finfish and Shellfish Products,"Salmon, sockeye, canned, total can contents",153,20.63,7.17,0,0,0,39,0.33,0.4,0,1.88,3,6,0.2,0.02,198,0.061,0.57,30,0.024,321,30.1,0.67,0.043333333,0.194117647,0.166666667,0,0.125333333,0.0075,0.375,0.153846154,0.016666667,0.165,6.78E-05,0.071428571,0.458571429,0.547272727,0.060909091,General_Food
17133,"Lamb, Veal, and Game Products","Veal, shoulder, blade, separable lean only, cooked, roasted",171,25.64,6.88,0,0,0,0,0.24,2.06,0,0.5,11,5.82,0.36,0.07,28,0.141,1,24,0.03,215,10.7,5.72,0,0.141176471,0.858333333,0,0.033333333,0.0275,0.36375,0.276923077,0.058333333,0.023333333,0.000156667,0.057142857,0.307142857,0.194545455,0.52,General_Food
14440,Beverages,"Water, bottled, non-carbonated, DANNON Fluoride To Go",0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,3,0,0.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0.002380952,0,0,0,Muscle_Gain
32019,"Meals, Entrees, and Side Dishes","Lasagna, cheese, frozen, unprepared",145,5.06,4.22,21.61,3.8,1.7,23,0.078,0.1,1.5,0.66,69,1.354,0.127,0.172,84,0.119,0.76,19,0.241,90,16.8,0.63,0.025555556,0.045882353,0.041666667,0.016666667,0.044,0.1725,0.084625,0.097692308,0.143333333,0.07,0.000132222,0.045238095,0.128571429,0.305454545,0.057272727,General_Food
28112,Baked Products,"KEEBLER, READY CRUST, Shortbread Pie Crust",502,4.4,23.1,69.1,26.6,1.3,0,0,0,0,0,0,2.6,0.22,0.3,0,0,2.3,0,0,89,0,0,0,0,0,0,0,0,0.1625,0.169230769,0.25,0,0,0,0.127142857,0,0,Weight_Gain
15121,Finfish and Shellfish Products,"Fish, tuna, light, canned in water, drained solids",86,19.44,0.96,0,0,0,17,0.319,2.55,0,0.33,4,10.136,0.084,0.03,17,0.05,1.63,23,0.019,139,70.6,0.69,0.018888889,0.187647059,1.0625,0,0.022,0.01,0.6335,0.064615385,0.025,0.014166667,5.56E-05,0.054761905,0.198571429,1.283636364,0.062727273,Muscle_Gain
6930,"Soups, Sauces, and Gravies","Sauce, cheese, ready-to-serve",174,6.71,13.29,6.83,0.42,0.5,80,0.017,0.14,0.4,0,4,0.024,0.114,0.006,184,0.018,0.21,9,0.01,157,3.2,0.98,0.088888889,0.01,0.058333333,0.004444444,0,0.01,0.0015,0.087692308,0.005,0.153333333,2.00E-05,0.021428571,0.224285714,0.058181818,0.089090909,General_Food
35022,American Indian/Alaska Native Foods,"Caribou, eye, raw (Alaska Native)",326,10.8,31.4,0,0,0,0,0,0,0,0,0,0.2,0.05,0.01,19,0,4.7,0,0,58,0,0,0,0,0,0,0,0,0.0125,0.038461538,0.008333333,0.015833333,0,0,0.082857143,0,0,Weight_Gain
36625,Restaurant Foods,"Restaurant, Chinese, vegetable lo mein, without meat",121,4.77,2.35,20.16,2.63,1.3,9,0.068,0,1.7,0.3,28,0.81,0.124,0.047,21,0.064,1.07,14,0.24,45,11.7,0.36,0.01,0.04,0,0.018888889,0.02,0.07,0.050625,0.095384615,0.039166667,0.0175,7.11E-05,0.033333333,0.064285714,0.212727273,0.032727273,General_Food
11180,Vegetables and Vegetable Products,"Corn, sweet, yellow, frozen, kernels on cob, unprepared",98,3.28,0.78,23.5,3.78,2.8,12,0.179,0,7.2,0.09,40,1.681,0.088,0.103,4,0.051,0.68,32,0.158,87,0.8,0.7,0.013333333,0.105294118,0,0.08,0.006,0.1,0.1050625,0.067692308,0.085833333,0.003333333,5.67E-05,0.076190476,0.124285714,0.014545455,0.063636364,General_Food
20055,Cereal Grains and Pasta,"Rice, white, glutinous, cooked",97,2.02,0.19,21.09,0.05,1,0,0.026,0,0,0.04,1,0.29,0.013,0.02,2,0.049,0.14,5,0.262,8,5.6,0.41,0,0.015294118,0,0,0.002666667,0.0025,0.018125,0.01,0.016666667,0.001666667,5.44E-05,0.011904762,0.011428571,0.101818182,0.037272727,General_Food
14538,Beverages,"Beverages, Cocoa mix, low calorie, powder, with added calcium, phosphorus, aspartame, without added sodium or vitamin A",359,25.1,3,58,55.58,1.1,479,0.318,2.78,0,0.21,27,1.084,1.4,0.267,1440,0.73,4.96,208,0.665,1630,24,3.44,0.532222222,0.187058824,1.158333333,0,0.014,0.0675,0.06775,1.076923077,0.2225,1.2,0.000811111,0.495238095,2.328571429,0.436363636,0.312727273,Weight_Gain
17156,"Lamb, Veal, and Game Products","Game meat, bison, separable lean only, raw",109,21.62,1.84,0,0,0,0,0,0,0,0,0,1.91,0.094,0,6,0.09,2.6,25,0.007,187,27,2.8,0,0,0,0,0,0,0.119375,0.072307692,0,0.005,0.0001,0.05952381,0.267142857,0.490909091,0.254545455,Muscle_Gain
18011,Baked Products,"Biscuits, plain or buttermilk, dry mix, prepared",335,7.3,12.1,48.4,0,1.8,26,0.068,0.21,0.4,0,84,3.021,0.357,0.35,185,0.116,2.05,25,0.249,470,6.2,0.61,0.028888889,0.04,0.0875,0.004444444,0,0.21,0.1888125,0.274615385,0.291666667,0.154166667,0.000128889,0.05952381,0.671428571,0.112727273,0.055454545,Weight_Gain
10188,Pork Products,"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), separable lean and fat, cooked",238,26.36,13.89,0,0,0,2,0.542,0.7,0.1,0.13,2,6.047,0.29,0.611,20,0.09,1.11,24,0.01,221,42,3.06,0.002222222,0.318823529,0.291666667,0.001111111,0.008666667,0.005,0.3779375,0.223076923,0.509166667,0.016666667,0.0001,0.057142857,0.315714286,0.763636364,0.278181818,General_Food
9054,Fruits and Fruit Juices,"Blueberries, frozen, unsweetened",51,0.42,0.64,12.17,8.45,2.7,2,0.059,0,2.5,0.48,7,0.52,0.037,0.032,8,0.033,0.18,5,0.147,11,0.1,0.07,0.002222222,0.034705882,0,0.027777778,0.032,0.0175,0.0325,0.028461538,0.026666667,0.006666667,3.67E-05,0.011904762,0.015714286,0.001818182,0.006363636,General_Food
19822,Snacks,"Snacks, trail mix, regular, with chocolate chips, unsalted nuts and seeds",484,14.2,31.9,44.9,0,0,13,0.259,0,1.3,0,65,4.405,0.224,0.413,109,0.844,3.39,161,1.062,387,0,3.14,0.014444444,0.152352941,0,0.014444444,0,0.1625,0.2753125,0.172307692,0.344166667,0.090833333,0.000937778,0.383333333,0.552857143,0,0.285454545,Weight_Gain
23427,Beef Products,"Beef, New Zealand, imported, manufacturing beef, raw",119,21.23,3.68,0.23,0,0,10,0.194,1.41,0,0.49,0,2.908,0.107,0.055,6,0.074,1.95,21,0.008,182,1.1,4.28,0.011111111,0.114117647,0.5875,0,0.032666667,0,0.18175,0.082307692,0.045833333,0.005,8.22E-05,0.05,0.26,0.02,0.389090909,General_Food
14311,Beverages,"Malted drink mix, natural, powder, has milk",428,14.29,9.52,71.21,47.62,0.1,63,0.41,0.8,2.9,0.36,46,5.246,0.92,0.505,298,0.2,0.7,93,0.237,358,16.4,0.99,0.07,0.241176471,0.333333333,0.032222222,0.024,0.115,0.327875,0.707692308,0.420833333,0.248333333,0.000222222,0.221428571,0.511428571,0.298181818,0.09,Weight_Gain
13931,Beef Products,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw",214,19.92,14.28,0,0,0,0,0.536,1.11,0,0.37,11,6.425,0.084,0.053,25,0.066,1.46,20,0.013,181,21.8,3.57,0,0.315294118,0.4625,0,0.024666667,0.0275,0.4015625,0.064615385,0.044166667,0.020833333,7.33E-05,0.047619048,0.258571429,0.396363636,0.324545455,General_Food
1244,Dairy and Egg Products,"Milk dessert bar, frozen, made from lowfat milk",147,4.41,1.47,33.09,22.06,6.6,71,0.023,0.14,0.9,0.2,4,0.126,0.129,0.023,184,0.103,0.53,20,0,83,2.2,0.43,0.078888889,0.013529412,0.058333333,0.01,0.013333333,0.01,0.007875,0.099230769,0.019166667,0.153333333,0.000114444,0.047619048,0.118571429,0.04,0.039090909,Weight_Loss
36040,Restaurant Foods,"CRACKER BARREL, macaroni n' cheese",194,6.49,11.75,15.61,2.83,1.1,61,0.06,0.19,0,0.73,0,0.71,0.247,0.097,145,0.061,0.57,17,0.13,202,16.9,0.83,0.067777778,0.035294118,0.079166667,0,0.048666667,0,0.044375,0.19,0.080833333,0.120833333,6.78E-05,0.04047619,0.288571429,0.307272727,0.075454545,General_Food
16201,Legumes and Legume Products,Campbell's Pork and Beans,108,4.62,1.15,19.23,6.15,5.4,0,0,0,0,0,0,0,0,0,31,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025833333,0,0,0,0,0,Weight_Loss
23409,Beef Products,"Beef, New Zealand, imported, eye round, separable lean only, raw",116,20.15,3.35,1.35,0,0,7,0.329,1.14,0,0.46,0,3.494,0.07,0.037,3,0.048,1.39,22,0.004,192,1.1,2.78,0.007777778,0.193529412,0.475,0,0.030666667,0,0.218375,0.053846154,0.030833333,0.0025,5.33E-05,0.052380952,0.274285714,0.02,0.252727273,General_Food
1074,Dairy and Egg Products,"Sour cream, imitation, cultured",208,2.4,19.52,6.63,6.63,0,0,0,0,0,0.74,0,0,0,0,3,0.058,0.39,6,0.11,45,2.5,1.18,0,0,0,0,0.049333333,0,0,0,0,0.0025,6.44E-05,0.014285714,0.064285714,0.045454545,0.107272727,General_Food
14541,Beverages,"Fruit punch-flavor drink, powder, without added sodium, prepared with water",37,0,0.01,9.47,9.23,0,0,0,0,11.8,0,0,0.001,0.002,0,17,0.021,0.05,1,0.003,0,0.1,0.02,0,0,0,0.131111111,0,0,6.25E-05,0.001538462,0,0.014166667,2.33E-05,0.002380952,0,0.001818182,0.001818182,General_Food
2063,Spices and Herbs,"Rosemary, fresh",131,3.31,5.86,20.7,0,14.1,146,0.336,0,21.8,0,109,0.912,0.152,0.036,317,0.301,6.65,91,0.96,66,0,0.93,0.162222222,0.197647059,0,0.242222222,0,0.2725,0.057,0.116923077,0.03,0.264166667,0.000334444,0.216666667,0.094285714,0,0.084545455,Weight_Loss
6619,"Soups, Sauces, and Gravies","SMART SOUP, Santa Fe Corn Chowder",55,2,0.71,11.2,3.6,2,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019166667,0,0,0,0,0,General_Food
21048,Fast Foods,"Fast foods, oysters, battered or breaded, and fried",265,9.02,12.9,28.69,0,0,78,0.02,0.73,3,0,31,3.18,0.25,0.22,20,0.573,3.21,17,0.305,141,66.3,11.25,0.086666667,0.011764706,0.304166667,0.033333333,0,0.0775,0.19875,0.192307692,0.183333333,0.016666667,0.000636667,0.04047619,0.201428571,1.205454545,1.022727273,General_Food
23105,Beef Products,"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",227,26.18,13.54,0.21,0,0,7,0.413,3.68,0,0.08,6,3.591,0.243,0.089,13,0.108,3.26,23,0.016,202,29.9,9.85,0.007777778,0.242941176,1.533333333,0,0.005333333,0.015,0.2244375,0.186923077,0.074166667,0.010833333,0.00012,0.054761905,0.288571429,0.543636364,0.895454545,General_Food
11364,Vegetables and Vegetable Products,"Potatoes, baked, skin, without salt",198,4.29,0.1,46.06,1.4,7.9,1,0.614,0,13.5,0.04,22,3.065,0.106,0.122,34,0.817,7.04,43,0.616,101,0.7,0.49,0.001111111,0.361176471,0,0.15,0.002666667,0.055,0.1915625,0.081538462,0.101666667,0.028333333,0.000907778,0.102380952,0.144285714,0.012727273,0.044545455,Weight_Loss
14241,Beverages,"Cranberry-grape juice drink, bottled",56,0.2,0.1,14,0,0.1,0,0.028,0,32,0,1,0.12,0.018,0.01,8,0.007,0.01,3,0.158,4,0,0.04,0,0.016470588,0,0.355555556,0,0.0025,0.0075,0.013846154,0.008333333,0.006666667,7.78E-06,0.007142857,0.005714286,0,0.003636364,General_Food
13455,Beef Products,"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",188,30.29,6.55,0,0,0,0,0.63,1.89,0,0.4,10,8.937,0.155,0.08,17,0.097,2.07,26,0.011,237,35.1,5.75,0,0.370588235,0.7875,0,0.026666667,0.025,0.5585625,0.119230769,0.066666667,0.014166667,0.000107778,0.061904762,0.338571429,0.638181818,0.522727273,General_Food
17415,"Lamb, Veal, and Game Products","Lamb, New Zealand, imported, square-cut shoulder chops, separable lean and fat, cooked, braised",322,26.79,23.86,0.05,0,0,15,0.102,2.11,0,0.69,0,2.674,0.19,0.046,34,0.124,1.74,20,0.01,162,10.1,5.35,0.016666667,0.06,0.879166667,0,0.046,0,0.167125,0.146153846,0.038333333,0.028333333,0.000137778,0.047619048,0.231428571,0.183636364,0.486363636,Weight_Gain
1095,Dairy and Egg Products,"Milk, canned, condensed, sweetened",321,7.91,8.7,54.4,54.4,0,74,0.051,0.44,2.6,0.16,11,0.21,0.416,0.09,284,0.015,0.19,26,0.006,253,14.8,0.94,0.082222222,0.03,0.183333333,0.028888889,0.010666667,0.0275,0.013125,0.32,0.075,0.236666667,1.67E-05,0.061904762,0.361428571,0.269090909,0.085454545,Weight_Gain
42231,Fats and Oils,"Oil, flaxseed, cold pressed",884,0.11,99.98,0,0,0,0,0,0,0,0.47,0,0,0,0,1,0,0,0,0,1,0,0.07,0,0,0,0,0.031333333,0,0,0,0,0.000833333,0,0,0.001428571,0,0.006363636,Weight_Gain
16049,Legumes and Legume Products,"Beans, white, mature seeds, raw",333,23.36,0.85,60.27,2.11,15.2,0,0.318,0,0,0.21,388,0.479,0.146,0.437,240,0.984,10.44,190,1.796,301,12.8,3.67,0,0.187058824,0,0,0.014,0.97,0.0299375,0.112307692,0.364166667,0.2,0.001093333,0.452380952,0.43,0.232727273,0.333636364,Weight_Gain
11894,Vegetables and Vegetable Products,"Vegetables, mixed, frozen, cooked, boiled, drained, with salt",60,2.86,0.15,13.09,3.12,4.4,214,0.074,0,3.2,0.38,19,0.851,0.12,0.071,25,0.083,0.82,22,0.379,51,0.3,0.49,0.237777778,0.043529412,0,0.035555556,0.025333333,0.0475,0.0531875,0.092307692,0.059166667,0.020833333,9.22E-05,0.052380952,0.072857143,0.005454545,0.044545455,Weight_Loss
6399,"Soups, Sauces, and Gravies","CAMPBELL'S CHUNKY Soups, Grilled Chicken & Sausage Gumbo Soup",57,2.86,1.22,8.57,1.63,0.8,0,0,0,0,0,0,0,0,0,8,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666667,0,0,0,0,0,General_Food
5039,Poultry Products,"Chicken, broilers or fryers, light meat, meat only, raw",114,23.2,1.65,0,0,0,8,0.54,0.38,0,0.22,4,10.604,0.092,0.068,12,0.04,0.73,27,0.018,187,17.8,0.97,0.008888889,0.317647059,0.158333333,0,0.014666667,0.01,0.66275,0.070769231,0.056666667,0.01,4.44E-05,0.064285714,0.267142857,0.323636364,0.088181818,Muscle_Gain
